Country,Year,BAC drivers general population,BAC young drivers
Afghanistan,2017,-,-
Albania,2017,<=0.05 g/dl,<=0.05  g/dl
Angola,2017,<= 0.06 g/dl,<= 0.06 g/dl
Antigua and Barbuda,2017,-,-
Argentina,2017,<=0.05 g/dl,<=0.05 g/dl
Armenia,2017,<=0.04 g/dl,<=0.04 g/dl
Australia,2017,< 0.05 g/dl,0 g/dl
Austria,2017,<0.05 g/dl,<0.01 g/dl
Azerbaijan,2017,-,-
Bangladesh,2017,-,-
Barbados,2017,<= 0.08 g/dl,<= 0.08 g/dl
Belarus,2017,<0.03 g/dl,<0.03 g/dl
Belgium,2017,<0.05  g/dl,<0.05 g/dl
Belize,2017,<=0.08  g/dl,<=0.08 g/dl
Benin,2017,-,-
Bhutan,2017,<= 0.08  g/dl,0 g/dl
Bolivia (Plurinational State of),2017,<=0.05  g/dl,<=0.05 g/dl
Bosnia and Herzegovina,2017,<=0.03  g/dl,0 g/dl
Botswana,2017,<=0.05  g/dl,<=0.05 g/dl
Brazil,2017,0  g/dl,0.0 g/dl
Bulgaria,2017,<=0.05  g/dl,<=0.05 g/dl
Burkina Faso,2017,<=0.05  g/dl,<=0.02 g/dl
Burundi,2017,<=0.08  g/dl,<=0.08 g/dl
Cabo Verde,2017,<0.08  g/dl,<0.08 g/dl
Cambodia,2017,<0.05  g/dl,<0.05 g/dl
Cameroon,2017,<=0.08  g/dl,<=0.08 g/dl
Canada,2017,0.04 - 0.08  g/dl,0.00 - 0.08 g/dl
Central African Republic,2017,<=0.08 g/dl,<=0.08 g/dl
Chad,2017,<=0.08 g/dl,<=0.08 g/dl
Chile,2017,<= 0.03 g/dl,<= 0.03 g/dl
China,2017,<0.02 g/dl,<0.02 g/dl
Colombia,2017,<0.02 g/dl,<0.02 g/dl
Comoros,2017,-,-
Congo,2017,<=0.08 g/dl,<=0.08 g/dl
Cook Islands,2017,<=0.08 g/dl,<=0.08 g/dl
Costa Rica,2017,<= 0.05 g/dl,<= 0.02 g/dl
C̫te d'Ivoire,2017,<0.08 g/dl,<0.08 g/dl
Croatia,2017,<=0.05 g/dl,0.0 g/dl
Cuba,2017,<=0.01 g/dl,0 g/dl
Cyprus,2017,<=0.05 g/dl,<=0.02 g/dl
Czechia,2017,<=0.03 g/dl,<=0.03 g/dl
Democratic Republic of the Congo,2017,<0.10 g/dl,<0.10 g/dl
Denmark,2017,<=0.05 g/dl,<=0.05 g/dl
Dominica,2017,<=0.08 g/dl,<=0.08 g/dl
Dominican Republic,2017,<=0.05 g/dl,0 g/dl
Ecuador,2017,<= 0.03 g/dl,<= 0.03 g/dl
Egypt,2017,-,-
El Salvador,2017,<0.05 g/dl,<0.05 g/dl
Equatorial Guinea,2017,<=0.08 g/dl,<=0.08 g/dl
Eritrea,2017,<=0.05 g/dl,<=0.05 g/dl
Estonia,2017,<0.02 g/dl,<0.02 g/dl
Eswatini,2017,<0.05 g/dl,<0.05 g/dl
Ethiopia,2017,<= 0.08 g/dl,<= 0.08 g/dl
Fiji,2017,<=0.08 g/dl,0 g/dl
Finland,2017,<0.05 g/dl,<0.05 g/dl
France,2017,<0.05 g/dl,<0.02 g/dl
Gabon,2017,<=0.08 g/dl,<=0.08 g/dl
Gambia,2017,-,-
Georgia,2017,<= 0.03 g/dl,<= 0.03 g/dl
Germany,2017,<0.05 g/dl,0 g/dl
Ghana,2017,<= 0.08 g/dl,<= 0.08 g/dl
Greece,2017,< 0.05 g/dl,< 0.05 g/dl
Grenada,2017,-,-
Guatemala,2017,-,-
Guinea,2017,<0.08 g/dl,<0.08 g/dl
Guinea-Bissau,2017,<=0.05 g/dl,<=0.05 g/dl
Guyana,2017,<= 0.08 g/dl,<= 0.08 g/dl
Honduras,2017,<0.07 g/dl,<0.07 g/dl
Hungary,2017,0 g/dl,0 g/dl
Iceland,2017,<0.05 g/dl,<0.05 g/dl
India,2017,<= 0.03 g/dl,<= 0.03 g/dl
Indonesia,2017,-,-
Iran (Islamic Republic of),2017,-,-
Iraq,2017,-,-
Ireland,2017,<= 0.05 g/dl,<= 0.02 g/dl
Israel,2017,<= 0.05 g/dl,<= 0.01 g/dl
Italy,2017,<=0.05 g/dl,0 g/dl
Jamaica,2017,<= 0.08 g/dl,<= 0.08 g/dl
Japan,2017,<0.03 g/dl,<0.03 g/dl
Jordan,2017,<0.08 g/dl,<0.08 g/dl
Kazakhstan,2017,<0.05 g/dl,<0.05 g/dl
Kenya,2017,<=0.08 g/dl,<=0.08 g/dl
Kiribati,2017,<=0.05 g/dl,0.00 g/dl
Kuwait,2017,-,-
Kyrgyzstan,2017,-,-
Lao People's Democratic Republic,2017,<=0.05 g/dl,<=0.05 g/dl
Latvia,2017,<= 0.05 g/dl,<= 0.02 g/dl
Lebanon,2017,<= 0.05 g/dl,0 g/dl
Lesotho,2017,<=0.08 g/dl,<=0.08 g/dl
Liberia,2017,<0.15 g/dl,<0.15 g/dl
Libya,2017,-,-
Lithuania,2017,<=0.04 g/dl,0 g/dl
Luxembourg,2017,< 0.05 g/dl,< 0.02 g/dl
Madagascar,2017,<0.08 g/dl,<0.08 g/dl
Malawi,2017,<0.08 g/dl,<0.08 g/dl
Malaysia,2017,<=0.08 g/dl,<=0.08 g/dl
Maldives,2017,-,-
Mali,2017,<0.03 g/dl,<0.03 g/dl
Malta,2017,<= 0.05 g/dl,<= 0.02 g/dl
Mauritania,2017,-,-
Mauritius,2017,<=0.05 g/dl,<=0.05
Mexico,2017,-,-
Micronesia (Federated States of),2017,-,-
Mongolia,2017,<0.04 g/dl,<0.04 g/dl
Montenegro,2017,<=0.03 g/dl,0 g/dl
Morocco,2017,<0.02 g/dl,<0.02 g/dl
Mozambique,2017,<0.06 g/dl,<0.06 g/dl
Myanmar,2017,-,-
Namibia,2017,<=0.079 g/dl,<=0.079 g/dl
Nepal,2017,-,-
Netherlands,2017,<= 0.05 g/dl,<= 0.02 g/dl
New Zealand,2017,<=0.05 g/dl,0 g/dl
Niger,2017,-,-
Nigeria,2017,<=0.05 g/dl,<=0.002 g/dl
Norway,2017,<= 0.02 g/dl,<= 0.02 g/dl
"occupied Palestinian territory, including east Jerusalem",2017,-,-
Oman,2017,-,-
Pakistan,2017,-,-
Panama,2017,<= 0.05 g/dl,<= 0.05 g/dl
Papua New Guinea,2017,-,-
Paraguay,2017,0 g/dl,0 g/dl
Peru,2017,<=0.05 g/dl,<=0.05 g/dl
Philippines,2017,<0.05 g/dl,<0.05 g/dl
Poland,2017,< 0.02 g/dl,< 0.02 g/dl
Portugal,2017,< 0.05 g/dl,< 0.02 g/dl
Qatar,2017,-,-
Republic of Korea,2017,<0.05 g/dl,<0.05 g/dl
Republic of Moldova,2017,<= 0.03 g/dl,<= 0.03 g/dl
North Macedonia,2017,<=0.05 g/dl,< 0.01 g/dl
Romania,2017,<= 0.08 g/dl,<= 0.08 g/dl
Russian Federation,2017,<=0.03 g/dl,<=0.03 g/dl
Rwanda,2017,<=0.08 g/dl,<=0.08 g/dl
Saint Lucia,2017,<=0.08 g/dl,<=0.08 g/dl
Samoa,2017,<=0.08 g/dl,<=0.08 g/dl
San Marino,2017,< 0.05 g/dl,< 0.05 g/dl
Sao Tome and Principe,2017,<0.12 g/dl,<0.12 g/dl
Saudi Arabia,2017,-,-
Senegal,2017,-,-
Serbia,2017,<=0.03 g/dl,0 g/dl
Seychelles,2017,<=0.08 g/dl,<=0.08 g/dl
Singapore,2017,<=0.08 g/dl,<=0.08 g/dl
Slovakia,2017,0 g/dl,0 g/dl
Slovenia,2017,<= 0.05 g/dl,0 g/dl
Solomon Islands,2017,<0.05 g/dl,<0.05 g/dl
Somalia,2017,-,-
South Africa,2017,<0.05 g/dl,<0.05 g/dl
South Sudan,2017,-,-
Spain,2017,<= 0.05 g/dl,<=0.03 g/dl
Sri Lanka,2017,< 0.08 g/dl,< 0.08 g/dl
Sudan,2017,-,-
Suriname,2017,<= 0.05 g/dl,<= 0.05 g/dl
Sweden,2017,< 0.02 g/dl,< 0.02 g/dl
Switzerland,2017,< 0.05 g/dl,< 0.01 g/dl
Syrian Arab Republic,2017,-,-
Tajikistan,2017,-,-
Thailand,2017,<= 0.05 g/dl,<= 0.02 g/dl
Timor-Leste,2017,<= 0.05 g/dl,<= 0.05 g/dl
Togo,2017,-,-
Tonga,2017,<0.03 g/dl,<0.03 g/dl
Trinidad and Tobago,2017,<=0.08 g/dl,<=0.08 g/dl
Tunisia,2017,<0.03 g/dl,0 g/dl
Turkey,2017,<=0.05 g/dl,<=0.05 g/dl
Turkmenistan,2017,< 0.05 g/dl,< 0.05 g/dl
Uganda,2017,<=0.08 g/dl,<=0.08 g/dl
Ukraine,2017,<= 0.02 g/dl,<= 0.02 g/dl
United Arab Emirates,2017,<= 0.01 g/dl,<= 0.01 g/dl
United Kingdom of Great Britain and Northern Ireland,2017,<= 0.08 g/dl,<= 0.08 g/dl
United Republic of Tanzania,2017,<=0.08 g/dl,<=0.08 g/dl
United States of America,2017,<=0.08 g/dl,0.00 - 0.08 g/dl
Uruguay,2017,0 g/dl,0 g/dl
Uzbekistan,2017,-,-
Vanuatu,2017,-,-
Venezuela (Bolivarian Republic of),2017,-,-
Viet Nam,2017,0.00 - 0.05 g/dl,0.00 - 0.05 g/dl
Zimbabwe,2017,<0.08 g/dl,<0.08 g/dl
