"","","Maximum speed limits","Maximum speed limits"
"Country","Year"," Urban"," Rural"
"Afghanistan"," 2017","90","90"
"Albania"," 2017","40","80"
"Angola"," 2017","60","90"
"Antigua and Barbuda"," 2017","32","64"
"Argentina"," 2017","60","110"
"Armenia"," 2017","90","90"
"Australia"," 2017","50","100 - 130 "
"Austria"," 2017","50","100"
"Azerbaijan"," 2017","60","90"
"Bangladesh"," 2017","112","112"
"Barbados"," 2017","80","80"
"Belarus"," 2017","60","90"
"Belgium"," 2017","50","90"
"Belize"," 2017","40","88"
"Benin"," 2017","?","?"
"Bhutan"," 2017","30","50"
"Bolivia (Plurinational State of)"," 2017","40","80"
"Bosnia and Herzegovina"," 2017","50","80"
"Botswana"," 2017","60","80"
"Brazil"," 2017","80","60"
"Bulgaria"," 2017","50","90"
"Burkina Faso"," 2017","50","90"
"Burundi"," 2017","50","100"
"Cabo Verde"," 2017","50","90"
"Cambodia"," 2017","40","90"
"Cameroon"," 2017","60","110"
"Canada"," 2017","50","50  - 100   "
"Central African Republic"," 2017","60","110"
"Chad"," 2017","60","110"
"Chile"," 2017","60","100"
"China"," 2017","50","70"
"Colombia"," 2017","80","120"
"Comoros"," 2017","?","?"
"Congo"," 2017","60","110"
"Cook Islands"," 2017","50","50"
"Costa Rica"," 2017","50","60"
"C̫te d'Ivoire"," 2017","60","110"
"Croatia"," 2017","50","90"
"Cuba"," 2017","50","90"
"Cyprus"," 2017","65","No"
"Czechia"," 2017","50","90"
"Democratic Republic of the Congo"," 2017","60","90"
"Denmark"," 2017","50","80"
"Dominica"," 2017","?","?"
"Dominican Republic"," 2017","60","60"
"Ecuador"," 2017","60","120"
"Egypt"," 2017","60","90"
"El Salvador"," 2017","50","90"
"Equatorial Guinea"," 2017","60","110"
"Eritrea"," 2017","60","100"
"Estonia"," 2017","50","90"
"Eswatini"," 2017","100","100"
"Ethiopia"," 2017","60","70"
"Fiji"," 2017","50","80"
"Finland"," 2017","50","80"
"France"," 2017","50","90"
"Gabon"," 2017","60","110"
"Gambia"," 2017","No ","No"
"Georgia"," 2017","60","90"
"Germany"," 2017","50","100"
"Ghana"," 2017","50","90"
"Greece"," 2017","50","90"
"Grenada"," 2017","32","64"
"Guatemala"," 2017","60","80"
"Guinea"," 2017","?","?"
"Guinea-Bissau"," 2017","50","80"
"Guyana"," 2017","64","64"
"Honduras"," 2017","?","?"
"Hungary"," 2017","50","90"
"Iceland"," 2017","50","90"
"India"," 2017","100","100"
"Indonesia"," 2017","50","80"
"Iran (Islamic Republic of)"," 2017","60","95"
"Iraq"," 2017","60","100"
"Ireland"," 2017","50","100"
"Israel"," 2017","50","80"
"Italy"," 2017","50","110"
"Jamaica"," 2017","48","80"
"Japan"," 2017","60","60"
"Jordan"," 2017","90","120"
"Kazakhstan"," 2017","60","110"
"Kenya"," 2017","50","100"
"Kiribati"," 2017","40","60"
"Kuwait"," 2017","45","80"
"Kyrgyzstan"," 2017","60","90"
"Lao People's Democratic Republic"," 2017","40","90"
"Latvia"," 2017","50","90"
"Lebanon"," 2017","50","70"
"Lesotho"," 2017","50","80"
"Liberia"," 2017","40","56"
"Libya"," 2017","50","85"
"Lithuania"," 2017","50","90"
"Luxembourg"," 2017","50","90"
"Madagascar"," 2017","50","No"
"Malawi"," 2017","50","80"
"Malaysia"," 2017","90","90"
"Maldives"," 2017","30","30"
"Mali"," 2017","50","90"
"Malta"," 2017","50","80"
"Mauritania"," 2017","80","100"
"Mauritius"," 2017","90","90"
"Mexico"," 2017","20 - 70   ","20 - 90   "
"Micronesia (Federated States of)"," 2017","40","40"
"Mongolia"," 2017","60","80"
"Montenegro"," 2017","50","80"
"Morocco"," 2017","60","100"
"Mozambique"," 2017","60","120"
"Myanmar"," 2017","48","80"
"Namibia"," 2017","60","120"
"Nepal"," 2017","40","80"
"Netherlands"," 2017","50","80"
"New Zealand"," 2017","50","100"
"Niger"," 2017","50","No"
"Nigeria"," 2017","50","80"
"Norway"," 2017","50","80"
"occupied Palestinian territory, including east Jerusalem"," 2017","50","80"
"Oman"," 2017","?","?"
"Pakistan"," 2017","90","110"
"Panama"," 2017","80","100"
"Papua New Guinea"," 2017","60","75"
"Paraguay"," 2017","50","110"
"Peru"," 2017","60","60"
"Philippines"," 2017","40","80"
"Poland"," 2017","50","90"
"Portugal"," 2017","50","90"
"Qatar"," 2017","100","120"
"Republic of Korea"," 2017","80","80"
"Republic of Moldova"," 2017","50","110"
"North Macedonia"," 2017","50","90"
"Romania"," 2017","50","90"
"Russian Federation"," 2017","60","90"
"Rwanda"," 2017","80","80"
"Saint Lucia"," 2017","24","24"
"Samoa"," 2017","56","56"
"San Marino"," 2017","70","70"
"Sao Tome and Principe"," 2017","50","90"
"Saudi Arabia"," 2017","80","120"
"Senegal"," 2017","No ","90"
"Serbia"," 2017","50","100"
"Seychelles"," 2017","25 - 80","80"
"Singapore"," 2017","70","?"
"Slovakia"," 2017","50","90"
"Slovenia"," 2017","50","90"
"Solomon Islands"," 2017","?","?"
"Somalia"," 2017","40","No"
"South Africa"," 2017","60","100"
"South Sudan"," 2017","50","No"
"Spain"," 2017","50","90"
"Sri Lanka"," 2017","50","70"
"Sudan"," 2017","50","90"
"Suriname"," 2017","40","80"
"Sweden"," 2017","50","110"
"Switzerland"," 2017","50","80"
"Syrian Arab Republic"," 2017","?","?"
"Tajikistan"," 2017","60","90"
"Thailand"," 2017","80","90"
"Timor-Leste"," 2017","50","90"
"Togo"," 2017","?","?"
"Tonga"," 2017","50","70"
"Trinidad and Tobago"," 2017","50","80"
"Tunisia"," 2017","50","90"
"Turkey"," 2017","50","110"
"Turkmenistan"," 2017","60","90"
"Uganda"," 2017","50","100"
"Ukraine"," 2017","60","90"
"United Arab Emirates"," 2017","?","?"
"United Kingdom of Great Britain and Northern Ireland"," 2017","48","96"
"United Republic of Tanzania"," 2017","50","No"
"United States of America"," 2017","32 - 128 ","40 - 128 "
"Uruguay"," 2017","45","90"
"Uzbekistan"," 2017","70","100"
"Vanuatu"," 2017","?","?"
"Venezuela (Bolivarian Republic of)"," 2017","?","?"
"Viet Nam"," 2017","60","90"
"Zimbabwe"," 2017","60","80"
